,RMSE,MAE,R2
RandomForest_Overall,0.16912484084956195,0.055784097057242084,0.6380337781218519
RandomForest_SmallModels,0.02727504496262556,0.012061627461570593,-0.17746677954583245
RandomForest_LargeModels,0.3311319990283923,0.18297673588101368,0.38699587703989635
LightGBM_Overall,0.15801718388433922,0.04757826443767093,0.6840183385373234
LightGBM_SmallModels,0.015028758412593022,0.00759476127285671,0.6425099825527972
LightGBM_LargeModels,0.31136909883114655,0.16389391000803955,0.4579839922040787
XGBoost_Overall,0.22579847337492817,0.07657466305805927,0.35479868248798596
XGBoost_SmallModels,0.016539389505664505,0.007045701604450404,0.5670311394418343
XGBoost_LargeModels,0.44554351179269364,0.278840732741285,-0.109791363946804
ExtraTrees_Overall,0.25698678390209917,0.09277125715674289,0.16425300899369188
ExtraTrees_SmallModels,0.015614557058657295,0.004714329838950318,0.6140979810841467
ExtraTrees_LargeModels,0.5074009392586698,0.3489368638994122,-0.4393407703496597
CatBoost_Overall,0.19694764038884507,0.06519505068643909,0.5091432056886087
CatBoost_SmallModels,0.019506109716099052,0.007167321364966607,0.3977746427121136
CatBoost_LargeModels,0.3879695882216153,0.23400299053072263,0.15849546384903657
